SampleID,Genotype,Age.w,Sex,House ID,Mouse ID,Collection Date,Shannon,Chao1,Pielou,ACE,Reads,numreads
wildtype_07w_F_676553_LP,wildtype,7,F,676553,676553 LP,12/6/18,3.753116862,217.75,0.697171561,214.8206533,19800,55679
wildtype_07w_F_676553_RP,wildtype,7,F,676553,676553 RP,12/6/18,3.559519431,215.25,0.662630652,213.5380696,19800,57424
wildtype_09w_F_592979_LP,wildtype,9,F,592979,592979 LP,4/6/18,3.978800037,215.0526316,0.740809321,216.4098848,19800,29955
wildtype_12w_F_676528_LP,wildtype,12,F,676528,676528 LP,12/19/18,4.163647234,285,0.736604193,288.0430755,19800,36423
Wmut_09w_F_592979_2P,W mut,9,F,592979,592979 2P,4/6/18,2.195865317,93.6,0.483774095,96.10157998,19800,43356
Wmut_10w_F_642082_RP,W mut,10,F,642082,642082 RP,8/9/18,3.406375009,190.6666667,0.648768248,188.1378719,19800,45157
Wmut_10w_F_656152_2R,W mut,10,F,656152,656152 2R,9/13/18,2.625198134,115.8947368,0.552361371,119.5026642,19800,42173
Wmut_10w_F_656152_RP,W mut,10,F,656152,656152 RP,9/13/18,2.544491026,144.2307692,0.511824348,144.6803499,19800,52957
Wmut_12w_F_656180_2R,W mut,12,F,656180,656180 2R,10/23/18,3.658397458,194.5,0.694136144,194.477786,19800,51382
Wmut_12w_F_656180_LP,W mut,12,F,656180,656180 LP,10/23/18,2.48181413,89.85714286,0.551732356,89.92869528,19800,55502
Wmut_12w_F_676494_RP,W mut,12,F,676494,676494 RP,11/30/18,2.399762852,63.5,0.578111246,65.38028145,19800,43232
Wmut_14w_F_631749_2P,W mut,14,F,631749,631749 2P,8/9/18,1.348675036,18.5,0.462227899,18.97895385,19800,39684
Wmut_14w_F_631749_LP,W mut,14,F,631749,631749 LP,8/9/18,3.277282392,178.4375,0.632162748,179.2687876,19800,44468
Wmut_14w_F_676471_2L,W mut,14,F,676471,676471 2L,11/30/18,0.903315498,59,0.221534568,59.80885886,19800,19779
Wmut_14w_F_676471_2R,W mut,14,F,676471,676471 2R,11/30/18,3.438347534,152.0909091,0.684319295,152.1241418,19800,41670